"category_id","asin","Predicted","category_name"
156,"B07GL55KSN",1,"Food Service Equipment & Supplies"
156,"B0BWRC93H7",1,"Food Service Equipment & Supplies"
156,"B0B2QTHX3T",1,"Food Service Equipment & Supplies"
156,"B07DWVBJT4",1,"Food Service Equipment & Supplies"
156,"B072K47K2W",1,"Food Service Equipment & Supplies"
156,"B0CCQFRPTM",1,"Food Service Equipment & Supplies"
156,"B091PP42RD",1,"Food Service Equipment & Supplies"
156,"B07RVJH7JR",1,"Food Service Equipment & Supplies"
156,"B0BHSQXM9W",1,"Food Service Equipment & Supplies"
159,"B07786CJFP",1,"Professional Dental Supplies"
162,"B075DFPR2W",1,"Industrial & Scientific"
162,"B088NDGBTH",1,"Industrial & Scientific"
162,"B00005RL5E",1,"Industrial & Scientific"
162,"B09CGJKTTR",1,"Industrial & Scientific"
162,"B09QLL3D9V",1,"Industrial & Scientific"
162,"B093298WC3",1,"Industrial & Scientific"
162,"B0811PYS6T",1,"Industrial & Scientific"
162,"B0C6WWWZHY",1,"Industrial & Scientific"
162,"B0B3SJQRSD",1,"Industrial & Scientific"
162,"B08RYQ1XYT",1,"Industrial & Scientific"
162,"B071RSM598",1,"Industrial & Scientific"
162,"B0B3J2847L",1,"Industrial & Scientific"
162,"B0C93V3G33",1,"Industrial & Scientific"
162,"B07WMYJPFW",1,"Industrial & Scientific"
162,"B0BJPZHMPR",1,"Industrial & Scientific"
162,"B00PQTXBV0",1,"Industrial & Scientific"
162,"B00TUDHCJK",1,"Industrial & Scientific"
162,"B00004Y8D4",1,"Industrial & Scientific"
162,"B09RQ1X9DG",1,"Industrial & Scientific"
162,"B0BFRHVVB5",1,"Industrial & Scientific"
162,"B09HV9YXG8",1,"Industrial & Scientific"
162,"B078JZ3V1V",1,"Industrial & Scientific"
162,"B01M0X4QM4",1,"Industrial & Scientific"
162,"B09W4HH3RS",1,"Industrial & Scientific"
162,"B096G6QJ93",1,"Industrial & Scientific"
162,"B0014E89WM",1,"Industrial & Scientific"
162,"B07ZPB382G",1,"Industrial & Scientific"
162,"B0C96NKG8V",1,"Industrial & Scientific"
162,"B07MJR3P1H",1,"Industrial & Scientific"
162,"B07RKRK7FD",1,"Industrial & Scientific"
162,"B071DG9X2D",1,"Industrial & Scientific"
162,"B08DBQZ89V",1,"Industrial & Scientific"
162,"B08FXLVHTY",1,"Industrial & Scientific"
162,"B09PFBQRQK",1,"Industrial & Scientific"
162,"B0C5C2P65K",1,"Industrial & Scientific"
162,"B06Y4QNT1X",1,"Industrial & Scientific"
162,"B07RL1CCXW",1,"Industrial & Scientific"
162,"B09F99ZGJB",1,"Industrial & Scientific"
162,"B006JAERJK",1,"Industrial & Scientific"
162,"B00JCG1V42",1,"Industrial & Scientific"
162,"B07J4WLDJ4",1,"Industrial & Scientific"
162,"B073TXK7B6",1,"Industrial & Scientific"
162,"B09W2BK4S3",1,"Industrial & Scientific"
162,"B071HLGYN9",1,"Industrial & Scientific"
162,"B0141MQRGI",1,"Industrial & Scientific"
162,"B08XNHCQCG",1,"Industrial & Scientific"
162,"B0C5D8CPJ9",1,"Industrial & Scientific"
162,"B0C1KPK867",1,"Industrial & Scientific"
164,"B08HM6WT6X",1,"Bedding"
164,"B0C1GN582B",1,"Bedding"
164,"B0BY3GG6D1",1,"Bedding"
164,"B0C4KDWYK8",1,"Bedding"
164,"B081JLYM61",1,"Bedding"
164,"B086L54YLJ",1,"Bedding"
164,"B07VHJYZKJ",1,"Bedding"
164,"B06XH4T4KZ",1,"Bedding"
164,"B0CCYC4G22",1,"Bedding"
164,"B0C336468R",1,"Bedding"
